time,open,high,low,close,tick_volume,spread,real_volume
2025-09-05 14:47:00,1.16839,1.1684700000000001,1.16839,1.16846,38,0,0
2025-09-05 14:48:00,1.16846,1.16846,1.1679599999999999,1.16797,73,0,0
2025-09-05 14:49:00,1.16797,1.16809,1.16789,1.16794,57,0,0
2025-09-05 14:50:00,1.16793,1.16803,1.16793,1.16798,41,0,0
2025-09-05 14:51:00,1.16798,1.16807,1.16793,1.16807,50,0,0
2025-09-05 14:52:00,1.16807,1.1681,1.16782,1.16784,87,0,0
2025-09-05 14:53:00,1.16783,1.16799,1.16778,1.16789,71,0,0
2025-09-05 14:54:00,1.1679,1.16814,1.16787,1.16811,39,0,0
2025-09-05 14:55:00,1.16809,1.16833,1.16791,1.16832,69,0,0
2025-09-05 14:56:00,1.16832,1.16844,1.16826,1.16838,88,0,0
2025-09-05 14:57:00,1.16839,1.16869,1.16839,1.16864,88,0,0
2025-09-05 14:58:00,1.16864,1.16873,1.16854,1.16867,63,0,0
2025-09-05 14:59:00,1.16867,1.1687400000000001,1.16865,1.16873,54,0,0
2025-09-05 15:00:00,1.16873,1.16887,1.16865,1.16867,106,0,0
2025-09-05 15:01:00,1.16867,1.169,1.16862,1.16899,108,0,0
2025-09-05 15:02:00,1.16899,1.1690800000000001,1.16895,1.16905,70,0,0
2025-09-05 15:03:00,1.16905,1.1693,1.16905,1.16913,72,0,0
2025-09-05 15:04:00,1.16914,1.16943,1.1690800000000001,1.16938,60,0,0
2025-09-05 15:05:00,1.16939,1.16942,1.16932,1.1694,61,0,0
2025-09-05 15:06:00,1.16939,1.16952,1.16939,1.16944,48,0,0
2025-09-05 15:07:00,1.16944,1.16974,1.16944,1.16974,75,0,0
2025-09-05 15:08:00,1.16976,1.17029,1.16976,1.16993,128,0,0
2025-09-05 15:09:00,1.16993,1.16993,1.16966,1.16974,119,0,0
2025-09-05 15:10:00,1.16982,1.17024,1.16978,1.17,106,0,0
2025-09-05 15:11:00,1.16999,1.17004,1.16983,1.16983,79,0,0
